Potential (keV),Cathode Radius (m),Anode Radius (m),Fusion Rate (m^2/sec)
-100.0,0.05,0.085,711063121.546324
-100.0,0.05,0.06,3093756293.670042
-100.0,0.05,0.1,820661702.9198874
-100.0,0.05,0.125,84357726.22445169
-100.0,0.05,0.15000000000000002,1530038.947520779
-100.0,0.05,0.17500000000000002,1538521.5017792264
-100.0,0.05,0.11000000000000001,653410963.6485007
-100.0,0.05,0.13999999999999999,13265519.230483098
-100.0,0.05,0.07500000000000001,846611977.2278109
-100.0,0.05,0.16000000000000003,1523136.643404732
